Text,Label
New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,sadness
New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,surprise
"where are all ma bestfriends at ? , MIA or wat ?",neutral
oh men!!!!!!......I really can't see my face........c'mon guys!!!,surprise
"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old",sadness
my sole supporter is not my sole supporter,sadness
don't you hate it when you finish all your work and there's still 1.25 hours left of work time,anger
@Emilyyy16 urgh stop it guys,sadness
is still missing her husband.    I really want him home.,sadness
I miss my puppy,sadness
"2 days of this month left, and I only have 400MB left on my onpeak downloads.",surprise
@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.,surprise
@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),sadness
Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,neutral
@BarbSchaefer yearling in pet home died... very sad for their whole family,sadness
fun in the sun hmmm hell no it's cold,joy
I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,sadness
"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",fear
is feeling sad... for some reason..  http://plurk.com/p/wxji3,sadness
well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,anger
just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,sadness
@juneyee i don't think so.  I WANT DETAILS.,sadness
@jackgraycnn Hi...!!! Who is Mary Poppins???,surprise
"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",sadness
my last tweet didn't send  bad phone,sadness
@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?,surprise
Have a headache  I'm going to bed. Goodnight!,sadness
@taxidermi  I was watching Parental Control,surprise
"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",surprise
I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,sadness
@jertronic it wont let me,sadness
Took a shift tomorrow.    I don't really feel like working right now.,sadness
but now i have no money for a phone,sadness
Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.,sadness
@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything,neutral
@Bern_morley where are you? In Bris? I can't hear any thunder,surprise
"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",sadness
Too bad the Red Devils.. disappointing to say the least,sadness
I had a dream about a pretty pretty beach and there was no beach when I woke up,surprise
"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",neutral
when da heck will the garage man get here I ask you.. WHEN..,neutral
"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",sadness
@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,surprise
why are plane tickets so expensive,surprise
(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,joy
Needs a job BADLY!!!,sadness
@AlexanderGWhite daaammmnnnnn I do wish I was there.,surprise
Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,fear
@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,sadness
@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4,sadness
is a bad friend,sadness
@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,joy
@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin,sadness
@aiderushton ill be over in an oir,sadness
@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am,surprise
would wish the severe migrains would stop!!! doc's prescriptions arent working,sadness
@bobbyedner i missed the game,sadness
"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",surprise
@tiffalo cuz airlines are super lame.,sadness
@lenje - Still a pity it comes with no lamb though,sadness
@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,sadness
"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",neutral
I'm so very tired...and have insomnia.,sadness
@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,sadness
@yelgiuQnayR airport? and you didnt show up tonight homo!,surprise
"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",anger
@MrRathbone what about me,surprise
"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",neutral
people in my house do not know how to close doors,neutral
Why am I completing facebook quizzes at this time of the morning... especially a friday morning,surprise
out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,sadness
@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,sadness
Had to cancel wow for now,sadness
wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,sadness
@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,sadness
"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",surprise
@__sugar oh no  i am always here ;) &lt;3,surprise
back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.,sadness
@ poll : was trying to get it to work in a powerpoint to no avail.,sadness
"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",joy
"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",joy
"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",fear
Up late with nothin 2 do.....,neutral
i think the vog is making me sicker than i think. feeling slightly achy,sadness
"@TheTombert i was watching Harpers Island, lol... there was no vodka involved",joy
i am doing homework it sux big time maths is the worst!!!!!!,anger
"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.",surprise
#3wordsaftersex it never started...,neutral
sometimes i wish things could go back to the way they were the beginning of last summer,sadness
"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",surprise
@tarng Trudy's off Burnet...the one up north that no one goes to,sadness
"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.",sadness
"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",surprise
i'm sooooooooooooo confused,fear
"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well",sadness
"Work day 7 of 7,",neutral
Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,joy
"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",joy
"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",neutral
@mysticnz no im not  cries LOL,sadness
Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,sadness
"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today",surprise
I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,fear
Come on Knight... It's been well over 4 hours,neutral
not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,sadness
@FoxxFiles aw u can't let me in on the secret!,sadness
"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",sadness
"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",sadness
"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",anger
Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,neutral
twittascope is NOT rocking my socks - go away already!!,sadness
Driving Back home because I forgot the piece of cake for @v_era,sadness
@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz,sadness
"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",sadness
It's pissing me off and not letting me follow ericka,sadness
Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,sadness
my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,fear
@koifusionpdx i was so close to the tacos...one spot too late,surprise
@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,sadness
is thinking so much and i'm at work,sadness
I have forgot the live with the Jonas Brothers on Facebook,surprise
I haven't seen Muffin in two whole days!,surprise
@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,sadness
my gap year is going so quick,surprise
"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",sadness
@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,sadness
my twitter has been hacked again,sadness
Just found mj mouse flats at DJs. Of course there are none left in my size,neutral
@passingcarss i wont have time to buy  and i need a new binder pa,sadness
@lanacaitlin  hahaha well its try its so ugly,sadness
25-man Ulduar is hard...,sadness
"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",sadness
@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,joy
night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],sadness
@princess_oats this is happening to me too,surprise
@qi_tah oh no.  *hugs*,surprise
"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",sadness
@xoshayzers i knoww  things won't be the samee &lt;/3,surprise
"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",surprise
@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,sadness
"Okay, so twitter suddenly changed, how do I respond to messages now",surprise
ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,neutral
Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,disgust
Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,sadness
@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30,surprise
I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,disgust
sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,sadness
I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,surprise
think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,surprise
"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",joy
@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...,sadness
@sillybabyjulie me too,neutral
@digenis that story reminds of living in Portugal,joy
"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?",surprise
I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,joy
my roommate @tess_tickle loves to ignore me,anger
@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.,joy
@MyDailyRoutine yeahhh. &amp;dont judge my pillow,sadness
"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",fear
my teeth and head hurts,sadness
I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,anger
"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",surprise
Waiting in line @ tryst,neutral
Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!,sadness
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,sadness
I need to be held...  Gnite.,sadness
"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",sadness
no more arrested development. i am sad.,sadness
"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night",sadness
omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,surprise
I feel so deflated. No more doggy.,disgust
@blood_rain i wanna see her hair  hows everyone?,sadness
"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",disgust
im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,sadness
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,sadness
Aww...  Pray for the arroyo family everyone!,joy
@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,sadness
Fuuudge. Movie store is closed,sadness
ALO is so sad and quiet and empty tonight,sadness
"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",fear
@wuzzyangel You never answered your DM I sent you....   I need your info...,surprise
Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...,surprise
@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie,surprise
I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,sadness
@jose3030 I didn't think anyone caught that,surprise
I need to be sleeping.. But i'm not even tired..,sadness
0,neutral
OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,surprise
"lyin in bed, up faaaaar too early",surprise
Sad that Christian Lacroix had to file bankruptcy,sadness
I dont feel good AT ALL. fuckkk,sadness
why did i agree to work a double shift,surprise
looks like i'll never go to the zoo,sadness
@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!,surprise
When will Medhurst play again?,neutral
@Moss1982 bad times?,sadness
aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,surprise
Have to go to the dreaded DMV tomorrow,fear
@duncm I'm a bit Ben's Thai-ed out,surprise
english class! working on interactive orals,joy
@SharonHayes Thank you for the rec but that doesn't work,sadness
@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,sadness
My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,anger
I don't know how ima work out tomorrow wit my body dis sore  ugh,sadness
in 7-11  w/o you,surprise
"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi",neutral
I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.,disgust
Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,sadness
I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.,sadness
"Lady across the way had a miscarriage, say a prayer",sadness
God I just want to sleep.,sadness
@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??,surprise
I feel so deflated. No more doggy.,disgust
Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,neutral
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",anger
is feeling bad  just got bad news about my Mum,sadness
@RealBlackWidow But but I dun wanna,sadness
@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,sadness
"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",sadness
@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!,surprise
"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",joy
don't feel like working  I think I tweet this too often!,surprise
feels sick to my stomach and idkk whyy,sadness
vineri...nimic special sau probabil un alt weekend pierdut...,neutral
Counting the hours of lost sunshine until the Weekend,sadness
@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho,surprise
is home.  safely... but hungry,sadness
"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER",sadness
"got to final table, but....went out third.  Don't think I'll be getting my free seat",surprise
good morning work this morning gutted lol nevermind,sadness
I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,sadness
FB is boring   and i wanna sing RIGHT NOW..! *-*,sadness
@judyrey  The link doesn't work,sadness
@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble,joy
The humpalow um ya I think so... Cell is dying,neutral
Last day at work...Sick to the bone,sadness
i feel like I'm on house arrest.,sadness
"love is like a war,,easy to begin, hard to end..fiuuhh...",joy
@heavenjones ur supposed to be in BK tho,surprise
@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,sadness
Oh no!  Nighty night.,sadness
@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,sadness
my stupid tooooth hurts,sadness
@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is,joy
Ready To Go @ School,neutral
@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,sadness
@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,surprise
It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,sadness
@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,fear
my dog ran awayyy,anger
