Text,Label,Predicted Label
Screw you @davidbrussee! I only have 3 weeks...,neutral,
@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,sadness,
I need skott right now,worry,
has work this afternoon,neutral,
@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,neutral,
mmm much better day... so far! it's still quite early. last day of #uds,happiness,sadness
@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,fun,
just picked up her Blackberry from the middle of the street! Both she and it are crushed!,worry,anger
Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,worry,
@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,empty,sadness
"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",worry,
"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",worry,
I'm having a problem with my photo here in twitter amf!!!...can't see my face!,sadness,surprise
"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",neutral,
wnna take a bath!!!!,neutral,
Chocolate milk is so much better through a straw. I lack said straw,neutral,
why am i so tired?,worry,
@djmicdamn hey yu lil fucker i textd yu,empty,
"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",neutral,
@benballer  no way! damn that sucks B!  are you ok?,neutral,
sucks not being able to take days off of work or have the money to take the trip  so sad,worry,
"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",enthusiasm,
@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,neutral,
@lostluna But I got dibs on Sulu...,neutral,
"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",sadness,
@itsgabbith at once haha.  poor aby still gets sore!,worry,
diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,sadness,
I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,sadness,sadness
@Pokinatcha  in all honesty...pain   blech.,sadness,
Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,sadness,surprise
At home alone with not much to do,neutral,
@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,worry,
@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,sadness,
So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,worry,
"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",happiness,
I cant give @jertronic any bday nudges.,neutral,
...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',worry,
Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,neutral,
says I miss plurking.  http://plurk.com/p/wxion,neutral,sadness
"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",worry,
I miss Voobys!,neutral,
@Dancing_Monk Neither are ELP!!,neutral,surprise
"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",happiness,
is sad that shin ae got married...and it wasn't to alex,worry,
"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",worry,
@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,sadness,
there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,neutral,
"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",sadness,
"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",worry,
@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,sadness,happiness
fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,worry,
dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,hate,
@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,worry,
I can't sleep...I keep thinking about the puppy I played with today,worry,sadness
.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,worry,
@lepetitagneau what's going on sweetheart?,neutral,
"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",neutral,
"Last one month due to summer, strawberry is not availble in the Chennai markets!",worry,
@willxxmobb work at 6am. Gotta go to bed soon,neutral,
@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,love,
@sweeetnspicy hiii im on my ipod...i cant fall asleep,sadness,sadness
dont wanna work 11-830 tomorrow  but i get paid,sadness,
feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,sadness,sadness
PrinceCharming,neutral,
